outcome,strategy,n,mean,sd,ci_low,ci_high,median,q1,q3,minimum,maximum
maximum_scroll_speed_m_s,Performance-Based DDA,10,5.9262999999999995,0.74135522299817,5.3959664214508365,6.456633578549162,5.949,5.4695,6.3622499999999995,4.514,6.909
maximum_scroll_speed_m_s,Skill-Specific DDA,11,5.5,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5
minimum_pattern_gap_m,Fixed Time-Based,7,2.1999999999999997,4.796711693331816e-16,2.1999999999999993,2.2,2.2,2.2,2.2,2.2,2.2
minimum_pattern_gap_m,Performance-Based DDA,10,2.1243999999999996,0.1552046677419493,2.0133732690919137,2.2354267309080855,2.1185,2.0315000000000003,2.20825,1.92,2.425
minimum_pattern_gap_m,Skill-Specific DDA,11,2.1999999999999997,4.657646926676369e-16,2.1999999999999993,2.2,2.2,2.2,2.2,2.2,2.2
difficulty_rating,Fixed Time-Based,7,3.2857142857142856,0.9511897312113419,2.4060105069596927,4.165418064468879,3.0,3.0,3.5,2.0,5.0
difficulty_rating,Performance-Based DDA,10,2.3,0.8232726023485646,1.7110662584135135,2.888933741586486,2.5,2.0,3.0,1.0,3.0
difficulty_rating,Skill-Specific DDA,11,2.8181818181818183,0.6030226891555273,2.4130656632752228,3.223297973088414,3.0,2.5,3.0,2.0,4.0
pattern_very_easy_pct,Fixed Time-Based,7,6.89522150323544,3.4853313132162067,3.671827656727685,10.118615349743195,7.5,6.097560975609756,9.523809523809524,0.0,9.523809523809524
pattern_very_easy_pct,Performance-Based DDA,10,11.420477158308135,6.7729593296454285,6.575393927987834,16.265560388628437,10.714285714285714,7.360217714002969,12.351190476190476,4.081632653061225,27.586206896551722
pattern_very_easy_pct,Skill-Specific DDA,11,8.270509977827052,6.191608419305889,4.110930843202523,12.430089112451581,7.317073170731707,4.878048780487805,10.0,2.5,24.390243902439025
pattern_easy_pct,Fixed Time-Based,7,29.527127924340466,2.303815264835929,27.396454171746747,31.657801676934184,29.268292682926827,28.035714285714285,31.329849012775842,26.190476190476193,32.5
pattern_easy_pct,Performance-Based DDA,10,35.33008014421462,11.389536404260049,27.182496621622903,43.477663666806336,37.26744186046511,26.023936170212767,40.7312925170068,21.428571428571427,56.75675675675676
pattern_easy_pct,Skill-Specific DDA,11,50.670731707317074,9.854307513040705,44.05051784017252,57.29094557446163,50.0,44.451219512195124,55.579268292682926,36.58536585365854,73.17073170731707
pattern_medium_pct,Fixed Time-Based,7,22.529865604778497,7.228616375480325,15.844510483693325,29.215220725863666,25.0,16.89895470383275,27.72938443670151,12.5,30.952380952380953
pattern_medium_pct,Performance-Based DDA,10,25.8964947849584,7.49326612546342,20.536135113832096,31.256854456084703,27.622890682318413,25.242346938775512,29.47674418604651,8.108108108108109,33.33333333333333
pattern_medium_pct,Skill-Specific DDA,11,12.350332594235033,6.056591855580906,8.281458821330084,16.41920636713998,12.195121951219512,8.628048780487806,17.5,2.4390243902439024,21.951219512195124
pattern_hard_pct,Fixed Time-Based,7,29.578148332503734,5.479544835362656,24.510414588800483,34.64588207620699,32.5,25.319396051103368,33.73983739837398,21.428571428571427,35.0
pattern_hard_pct,Performance-Based DDA,10,26.26056840752536,10.240539396777214,18.934927829176114,33.586208985874606,29.76190476190476,26.06104651162791,32.35372340425532,0.0,33.33333333333333
pattern_hard_pct,Skill-Specific DDA,11,26.47450110864745,6.2881682957699745,22.25005216634426,30.698950050950636,27.500000000000004,23.75,30.853658536585364,14.634146341463413,35.0
pattern_expert_pct,Fixed Time-Based,7,11.469636635141862,3.642906110051678,8.100510407738742,14.838762862544982,11.904761904761903,8.536585365853657,13.75,7.142857142857142,16.666666666666664
pattern_expert_pct,Performance-Based DDA,10,1.0923795049934868,2.087646703634586,-0.40103298167840773,2.5857919916653813,0.0,0.0,1.5306122448979593,0.0,6.382978723404255
pattern_expert_pct,Skill-Specific DDA,11,2.2339246119733924,2.8051792954974393,0.3493795186420592,4.118469705304726,2.4390243902439024,0.0,2.4390243902439024,0.0,7.5
