outcome,removed_run_id,removed_strategy,removed_value,full_F,leave_one_out_F,change_in_F,full_p,leave_one_out_p,change_in_p,full_eta_squared,leave_one_out_eta_squared
total_patterns_spawned,R-20260719-085701-11428E75,Fixed Time-Based,42.0,1.2343153468827488,0.6506778770345324,-0.5836374698482164,0.3260633836627917,0.541563598065425,0.21550021440263328,0.007873428634674332,0.006417040903022206
total_patterns_spawned,R-20260719-090242-3BA5890E,Performance-Based DDA,43.0,1.2343153468827488,1.20586269984206,-0.028452647040688728,0.3260633836627917,0.335805251475538,0.00974186781274633,0.007873428634674332,0.005840645840645848
total_patterns_spawned,R-20260719-090751-C6AEDFB5,Skill-Specific DDA,40.0,1.2343153468827488,1.0054024929269627,-0.2289128539557861,0.3260633836627917,0.3949648633241768,0.0689014796613851,0.007873428634674332,0.006099325894047321
total_patterns_spawned,R-20260719-091426-075509FD,Fixed Time-Based,41.0,1.2343153468827488,1.0087983851028686,-0.22551696177988023,0.3260633836627917,0.39839040818405475,0.07232702452126305,0.007873428634674332,0.007916485428447109
total_patterns_spawned,R-20260719-092039-C2ECB570,Performance-Based DDA,29.0,1.2343153468827488,2.213754930821741,0.979439583938992,0.3260633836627917,0.15495419231986962,-0.17110919134292207,0.007873428634674332,0.1378285014648646
total_patterns_spawned,R-20260803-131118-25C444A0,Skill-Specific DDA,41.0,1.2343153468827488,1.4003240448647407,0.16600869798199192,0.3260633836627917,0.28412141883808517,-0.041941964824706524,0.007873428634674332,0.00864661654135344
total_patterns_spawned,R-20260803-202931-74AE8E33,Performance-Based DDA,42.0,1.2343153468827488,1.213996729276598,-0.020318617606150724,0.3260633836627917,0.3335716044416963,0.007508220778904617,0.007873428634674332,0.006571532606245571
total_patterns_spawned,R-20260803-203352-78E56646,Skill-Specific DDA,41.0,1.2343153468827488,1.4003240448647407,0.16600869798199192,0.3260633836627917,0.28412141883808517,-0.041941964824706524,0.007873428634674332,0.00864661654135344
total_patterns_spawned,R-20260803-203819-9150C5FD,Fixed Time-Based,42.0,1.2343153468827488,0.6506778770345324,-0.5836374698482164,0.3260633836627917,0.541563598065425,0.21550021440263328,0.007873428634674332,0.006417040903022206
total_patterns_spawned,R-20260803-204306-D213B70C,Performance-Based DDA,47.0,1.2343153468827488,1.2049313794557912,-0.02938396742695759,0.3260633836627917,0.33604256042966596,0.009979176766874265,0.007873428634674332,0.009139009139009236
total_patterns_spawned,R-20260803-204802-7FB9A22F,Skill-Specific DDA,41.0,1.2343153468827488,1.4003240448647407,0.16600869798199192,0.3260633836627917,0.28412141883808517,-0.041941964824706524,0.007873428634674332,0.00864661654135344
total_patterns_spawned,R-20260803-205226-5A31D015,Fixed Time-Based,40.0,1.2343153468827488,2.177261455838074,0.9429461089553253,0.3260633836627917,0.16058970589324267,-0.16547367776954902,0.007873428634674332,0.010405709992486875
total_patterns_spawned,R-20260804-075724-00D9EA4C,Performance-Based DDA,40.0,1.2343153468827488,1.2398414703971152,0.005526123514366432,0.3260633836627917,0.3265850575541555,0.0005216738913638164,0.007873428634674332,0.00976016785134352
total_patterns_spawned,R-20260804-080250-4C74E07B,Skill-Specific DDA,40.0,1.2343153468827488,1.0054024929269627,-0.2289128539557861,0.3260633836627917,0.3949648633241768,0.0689014796613851,0.007873428634674332,0.006099325894047321
total_patterns_spawned,R-20260719-084347-6A9321AA,Performance-Based DDA,42.0,1.2343153468827488,1.213996729276598,-0.020318617606150724,0.3260633836627917,0.3335716044416963,0.007508220778904617,0.007873428634674332,0.006571532606245571
total_patterns_spawned,R-20260719-085111-17A32D03,Skill-Specific DDA,40.0,1.2343153468827488,1.0054024929269627,-0.2289128539557861,0.3260633836627917,0.3949648633241768,0.0689014796613851,0.007873428634674332,0.006099325894047321
total_patterns_spawned,R-20260719-085745-B9C21BFE,Fixed Time-Based,40.0,1.2343153468827488,2.177261455838074,0.9429461089553253,0.3260633836627917,0.16058970589324267,-0.16547367776954902,0.007873428634674332,0.010405709992486875
total_patterns_spawned,R-20260719-091012-4EAD5CB0,Skill-Specific DDA,41.0,1.2343153468827488,1.4003240448647407,0.16600869798199192,0.3260633836627917,0.28412141883808517,-0.041941964824706524,0.007873428634674332,0.00864661654135344
