outcome,strategy,run_id,value,iqr_low_fence,iqr_high_fence,outside_1_5_iqr,within_group_standardized_residual,absolute_residual_at_least_3
resolved_targets,Skill-Specific DDA,R-20260803-203352-78E56646,309.0,249.25,327.25,False,1.345095502799395,False
resolved_targets,Skill-Specific DDA,R-20260803-204802-7FB9A22F,295.0,249.25,327.25,False,0.3633670315619221,False
resolved_targets,Skill-Specific DDA,R-20260804-080250-4C74E07B,311.0,249.25,327.25,False,1.4853424272618911,False
resolved_targets,Skill-Specific DDA,R-20260719-085111-17A32D03,280.0,249.25,327.25,False,-0.6884849019067988,False
resolved_targets,Skill-Specific DDA,R-20260719-091012-4EAD5CB0,293.0,249.25,327.25,False,0.223120107099426,False
resolved_targets,Skill-Specific DDA,R-20260719-093012-4EB0A2D2,298.0,249.25,327.25,False,0.5737374182556664,False
resolved_targets,Skill-Specific DDA,R-20260804-075716-FEF7CC7F,267.0,249.25,327.25,False,-1.6000899109130235,False
normalized_target_score_pct,Fixed Time-Based,R-20260719-085701-11428E75,75.87412587412588,67.60949108239566,82.09439036358879,False,0.24519686006608493,False
normalized_target_score_pct,Fixed Time-Based,R-20260719-091426-075509FD,59.83606557377049,67.60949108239566,82.09439036358879,True,-1.9576245175775335,False
normalized_target_score_pct,Fixed Time-Based,R-20260803-203819-9150C5FD,77.45098039215686,67.60949108239566,82.09439036358879,False,0.46177721808329514,False
normalized_target_score_pct,Fixed Time-Based,R-20260803-205226-5A31D015,73.13432835820896,67.60949108239566,82.09439036358879,False,-0.13111326880548035,False
normalized_target_score_pct,Fixed Time-Based,R-20260719-085745-B9C21BFE,83.90092879256966,67.60949108239566,82.09439036358879,True,1.3476751356022063,False
normalized_target_score_pct,Fixed Time-Based,R-20260719-091622-92127A6F,75.47770700636943,67.60949108239566,82.09439036358879,False,0.1907488819414584,False
normalized_target_score_pct,Fixed Time-Based,R-20260804-072904-22984449,72.94832826747721,67.60949108239566,82.09439036358879,False,-0.15666030931002803,False
